TRAM,Rang,geometry_wkt
T08555K,15-20 µg/m³,"MULTILINESTRING ((2.151237722406972 41.41109006980149, 2.1514533289652147 41.4111554589274, 2.152252105116477 41.41115459620972, 2.1524201613873792 41.41125337544481, 2.152493455141629 41.41137708325163, 2.1524277239621585 41.41156928745065))"
T02029V,25-30 µg/m³,"MULTILINESTRING ((2.176678270740355 41.395742482696086, 2.1765294483158337 41.39557477054746, 2.176396603202963 41.395428295096806, 2.1763074845536132 41.39529756214757, 2.17623620291023 41.39514491534421, 2.1761917164944142 41.39495717776116, 2.1762025660786226 41.39479409327618, 2.176251768903803 41.394607025918184, 2.1763537102416057 41.39441813793161, 2.1765202543057667 41.39421426396471, 2.1766743926797076 41.39406543604938, 2.1768069606810077 41.39392440736014))"
RL0025Y,25-30 µg/m³,"MULTILINESTRING ((2.1716554364641634 41.36598684499266, 2.171650523502482 41.365977076883794, 2.17160374842502 41.36588468320454, 2.1715387190266493 41.365760901968336, 2.171483814851045 41.36565899182433, 2.171472131093008 41.36563746978296, 2.1714095032191842 41.36552235300181, 2.1713467560091018 41.3654072353263, 2.1712842287127074 41.36529365048166, 2.171259884475327 41.36525222068719, 2.1712184519771083 41.365181753653374, 2.171171295832531 41.36511007442983, 2.1711231867877196 41.365038118101424, 2.171050434216961 41.36492950376316, 2.1710215034474922 41.36488677984482, 2.1709771968154086 41.36482142633405, 2.1708841672149 41.36469014702636, 2.170789215997386 41.36455957440919, 2.1706987213093627 41.36443587954779, 2.170608345373183 41.364312275544144, 2.170508919709239 41.364176356006205, 2.170085649069963 41.363603308235014, 2.1699949087715993 41.36348033164275, 2.1698752226158438 41.36332066571688, 2.1697560209590003 41.36316055278373, 2.1696467327914637 41.36301068973814, 2.1695376807914815 41.36286109851702, 2.169438083903862 41.36272959050006, 2.1693718545489546 41.36264435169676, 2.1693365643297424 41.36259887920793, 2.1692514729532757 41.36249260674534, 2.16916360704597 41.36238829586458, 2.169013535547385 41.36223030140205, 2.1688509447262465 41.36207906213794, 2.1687927691921036 41.36203353149656, 2.168169746367915 41.361549003117624, 2.1680293564713606 41.3614479150076, 2.1678863541777846 41.36134545671357, 2.167743593718437 41.36124281983855, 2.1675990623036583 41.36113845854862, 2.1674545313488043 41.36103409708114, 2.1672845141508925 41.360912616935444, 2.1671781245420174 41.36083627418592, 2.1671145033231674 41.360790686206656, 2.1670015067795974 41.36070744976219, 2.166888501337472 41.36062493374851, 2.1667694108552524 41.360541472841966, 2.1666498436413697 41.36045791828712, 2.166564285304048 41.36039820953886, 2.1664787225320294 41.3603388610014, 2.1663896908191584 41.36027966743796, 2.166299333938232 41.360221274896155, 2.1662650646423813 41.360199138434645, 2.1661758930935826 41.36014156505666, 2.166052207716373 41.3600623036923, 2.165933725132459 41.359987583655524, 2.165813547364578 41.359914562658425, 2.1656531203358416 41.35981963179591, 2.165492098353724 41.359724516248335, 2.1653813022746324 41.35965651693895, 2.165272075443889 41.35958735791092, 2.1652150442524554 41.359550193677684, 2.165140939200358 41.35950191641792, 2.1650107665517586 41.35941594130596, 2.1648955473654157 41.35933863166708, 2.1647819020704357 41.35925980203736, 2.16463429124322 41.35915388338916, 2.164557054953764 41.35909810676135, 2.1644872809053943 41.35904778875703, 2.1643196618026517 41.35892659184104, 2.1641520421706675 41.35880548474929, 2.164008232239583 41.358701664620284, 2.1638641859875536 41.358597662446506, 2.1637365090354037 41.358503777348496, 2.1636093140741406 41.35840962537992, 2.1635342266700928 41.358354223973116, 2.1634480074077804 41.358290544768174, 2.1633357359616587 41.35820740005364, 2.1632867047875175 41.35817119373338, 2.1631378818937903 41.358057607920834, 2.1629926803185837 41.357941345964946, 2.1629045556424527 41.35786783425664, 2.1628710809380833 41.35783984763772, 2.162751168182684 41.357737370611616, 2.1626226447523615 41.357625823285744, 2.1625222826090695 41.357537089593826, 2.1624954482318075 41.357513384708675, 2.1623712348666624 41.35740141806336, 2.1622472621533793 41.3572893629582, 2.1621283723340974 41.35718184848005, 2.1620094840574158 41.357074243815724, 2.1618739317339544 41.35695165526819, 2.161738500613763 41.35682897736835, 2.161578493656668 41.356683691555574, 2.161418605794818 41.35653849646206, 2.1612947535751807 41.35642662134839, 2.1611711420099224 41.35631465777958, 2.1610521546783086 41.356205700259366, 2.1609332861265313 41.35609683355365, 2.1608164223482254 41.35599014315014, 2.1606995589528717 41.35588345262806, 2.1605897871798994 41.355783118973825, 2.1605760816869775 41.355770498560226, 2.1604803778226787 41.355682517628686, 2.1603850455451536 41.355593548493246, 2.160298097630918 41.355512657144246, 2.1602898272794357 41.355505030484686, 2.160140570311849 41.35537026981437, 2.159991319748441 41.35523505861343, 2.1599674559415933 41.35521290608765, 2.1599118120927607 41.355161337215996, 2.159832160781013 41.35508950630704, 2.159753498330967 41.355015160435975, 2.159674836057168 41.354940814511984, 2.1595718403904045 41.35484368196777, 2.159536641630263 41.35481054747434, 2.159397362678807 41.3546809929575, 2.1592441937533553 41.354543950666795, 2.1592129923027703 41.35451606964364, 2.1591824846790457 41.354489399764276))"
T08472I,20-25 µg/m³,"MULTILINESTRING ((2.1482755297883527 41.41029504781439, 2.1492757671902947 41.410843215581934))"
T19283O,25-30 µg/m³,"MULTILINESTRING ((2.182083602773251 41.38438806312619, 2.1821179326596734 41.38442112138816, 2.1822672487006978 41.384592505183065, 2.182325454528848 41.38464917051829, 2.1823855550871936 41.3847216845159, 2.182403289865016 41.38476102021336))"
T01014K,25-30 µg/m³,"MULTILINESTRING ((2.1738892741619478 41.383884328573245, 2.1740825131621557 41.38405248006816))"
T15694N,25-30 µg/m³,"MULTILINESTRING ((2.1771134517277817 41.380151163144134, 2.1773036670429526 41.380021705733, 2.1774181979779246 41.38011592302991))"
T07285D,20-25 µg/m³,"MULTILINESTRING ((2.1334082427655887 41.388734268197844, 2.1327812619328586 41.389386123400705, 2.132607225274244 41.3896215749386))"
T10421W,20-25 µg/m³,"MULTILINESTRING ((2.151246597192439 41.399198067890666, 2.1507887844623252 41.39892676435207))"
T07669P,20-25 µg/m³,"MULTILINESTRING ((2.115125909047326 41.38267546505761, 2.114808260020135 41.38342650217123))"
T01726J,20-25 µg/m³,"MULTILINESTRING ((2.1530409649276008 41.37608272109173, 2.1541649465780144 41.37692201737433))"
T07956T,15-20 µg/m³,"MULTILINESTRING ((2.1601215716603086 41.4043078016203, 2.1594158611332612 41.404885535910815))"
T01888A,25-30 µg/m³,"MULTILINESTRING ((2.1573351459560057 41.388177645059336, 2.158479223223133 41.389035240255936))"
T09830O,20-25 µg/m³,"MULTILINESTRING ((2.2143676720470613 41.417765576459075, 2.214162068070986 41.417932631526696))"
T19613M,20-25 µg/m³,"MULTILINESTRING ((2.1438297094681396 41.43403003128156, 2.143537625908905 41.434110339970694))"
T13990K,20-25 µg/m³,"MULTILINESTRING ((2.143981010206998 41.42014601075988, 2.144105324267698 41.42017568677984, 2.144479538743056 41.42011483024367, 2.1447526202228535 41.42005421212456, 2.1448786308519447 41.41994808533124))"
T19488Z,25-30 µg/m³,"MULTILINESTRING ((2.169101516168757 41.376388635766524, 2.1687639292711776 41.37608482525485, 2.168721681620097 41.375981302893344))"
T00487J,25-30 µg/m³,"MULTILINESTRING ((2.181784760579253 41.38386177390042, 2.1819858695452647 41.38412034065027))"
T03227D,25-30 µg/m³,"MULTILINESTRING ((2.136833508926759 41.38123920432304, 2.1380906412383966 41.38171091368535))"
T18529N,20-25 µg/m³,"MULTILINESTRING ((2.1302537100256695 41.38523308959671, 2.1300317837695473 41.38562502353595))"
T12103T,20-25 µg/m³,"MULTILINESTRING ((2.179861556697794 41.42944030413632, 2.1798842240587795 41.43023026685521))"
VA0011K,20-25 µg/m³,"MULTILINESTRING ((2.092622871039371 41.42465478696874, 2.092537381366391 41.42479604063335, 2.0924282245049324 41.42497767098186, 2.092405595913845 41.42501280177054, 2.0923916249148284 41.425036381198986, 2.09237287683151 41.425067849524545, 2.0923688415161297 41.42507403284302, 2.0923478098176242 41.42510620375447, 2.092310757754311 41.42516301882524, 2.092253221997184 41.42525561205855, 2.0922167630497044 41.425312792064304, 2.0921830030505766 41.4253652194019, 2.0921488865174327 41.425417463762926, 2.092090803388549 41.425506359552166, 2.0920324820311893 41.42559516335103, 2.0919812526473542 41.42567312405339, 2.091929786340939 41.4257509027144, 2.0918853124682446 41.42581639631394, 2.091840124313686 41.42588161403836, 2.091795434766511 41.425945394484465, 2.0917500321766185 41.426008808984044, 2.0917068787686968 41.42606539556036, 2.0916620612887886 41.426121158322744, 2.091609595810007 41.426184697193584, 2.0915559398612 41.42624777627477, 2.091492723749868 41.42631843621078, 2.0914276079475647 41.42638800022868, 2.0913741829908763 41.42644306441964, 2.09131980942527 41.42649749057857, 2.091292635785117 41.42652375797004, 2.091264613183749 41.42655082932127, 2.0912075160248365 41.42660316221564, 2.0911500949323707 41.42665297045328, 2.091091726472194 41.426702050570434, 2.0910363985070934 41.426747641764614, 2.0909803599922605 41.426792686882635, 2.090919872473767 41.4268392281026, 2.090857963973342 41.42688467717285, 2.090789914821328 41.42693277994456, 2.090721156368747 41.4269802465604, 2.0906556727206973 41.427024586387134, 2.0905893613639535 41.427068199050616, 2.090576441684666 41.42707638383517, 2.09052693573346 41.4271077890226, 2.0904634456004607 41.42714646980262, 2.0903987650245837 41.42718469077703, 2.0903336119739206 41.427222457604586, 2.090265571822807 41.42726128247661, 2.0901970579599154 41.42729974326178, 2.0901375968166085 41.42733269094156, 2.0900766038409047 41.427363915068064, 2.090004319532642 41.42739811244548, 2.0899319154804976 41.427432308830575, 2.0898681838358475 41.427462520374704, 2.089804453381242 41.42749264182472, 2.0897502707516424 41.42751608315671, 2.0897293194419584 41.427525195157735, 2.0896900871841986 41.427540738045096, 2.0896525390226497 41.427555663716646, 2.08956794254126 41.42758877263807, 2.089483228820896 41.42762170042761, 2.089474926609804 41.427624877441495, 2.089428601249076 41.42764270606757, 2.089402009228041 41.42765294437042, 2.089319848572688 41.42768300984752, 2.089241934012952 41.42770896543376, 2.089163554568937 41.42773392647335, 2.089090829544706 41.42775677040717, 2.089017751777476 41.427779161145146, 2.088925105473361 41.42780590068504, 2.088831877115498 41.427831464579505, 2.0887417776332358 41.42785579212007, 2.0886510986258786 41.42787876389034, 2.088541592930814 41.42790437884876, 2.0884320884103382 41.427929903631636, 2.0883309831197203 41.42795387348233, 2.0882297593379056 41.42797775223751, 2.0881518452380035 41.427995059944294, 2.0880965001827727 41.42800741213677, 2.0879625468159033 41.42803535496067, 2.0878642552512674 41.428054933058206, 2.087766079519173 41.428074782199204, 2.087667991889796 41.42809688382009, 2.0875760185383854 41.4281182231424, 2.0875701347056643 41.428119617696105, 2.087472661669431 41.428140553057304, 2.087375188564091 41.428161488322615, 2.0873018251320974 41.42817856131001, 2.0872713264095606 41.428185705613494, 2.0871680436181226 41.428211278515924, 2.0870533469969477 41.42824000349492, 2.0869388782672287 41.42826954083365, 2.086823894189035 41.42830168613226, 2.086709494458653 41.428334826760285, 2.086608066601755 41.42836464736324, 2.0865069900698967 41.42839501111509, 2.0863610328076287 41.42844249303363, 2.0862163576016823 41.42849241695573, 2.0861030504081977 41.428532951752146, 2.085990327525804 41.42857448188447, 2.08587672896403 41.42861870719471, 2.085764183262438 41.428664652161096, 2.0856593163336896 41.42870921680469, 2.0855552692605226 41.42875504891416, 2.0854484254754326 41.428804011311875, 2.085342640851742 41.42885424306205, 2.0852261045329477 41.428911595235896, 2.0851107482793325 41.42897012763199, 2.085015747170373 41.42901945395897, 2.084922397263843 41.42907050474567, 2.0848352889257136 41.429120253954466, 2.0848127289199616 41.429133045323525, 2.0847995788818214 41.42914050703564, 2.0847873937808643 41.42914743596036, 2.0846767602451077 41.42921050917875, 2.0845798294057563 41.42926936767882, 2.0844990490775106 41.42932015776875, 2.0844207487907003 41.42937330945149, 2.084318525014393 41.42944257426031, 2.084216299756272 41.42951192903926, 2.084123577482738 41.42957784642574, 2.084032986304512 41.429645402025656, 2.08392640117384 41.42972688189406, 2.0838214759853004 41.42980945575502, 2.083810334768667 41.42981873482093, 2.083788779220767 41.42983666820962, 2.0837691624126604 41.42985290561613, 2.083731259064867 41.42988440019153, 2.0837202337068836 41.42989395039299, 2.0836429376787384 41.42996071076136, 2.083551072230525 41.43004221735252, 2.083461224500104 41.43012491089545, 2.083370461614162 41.43021309162371, 2.083281716415668 41.43030245930803, 2.08320836922179 41.43037771780983, 2.08316099991423 41.430426971515324, 2.083135734819199 41.43045334223036, 2.0830607733137754 41.430532731186254, 2.083056764643664 41.43053693275188, 2.082978507218599 41.430620889197435, 2.082902774095274 41.43070405502427, 2.0828367639586705 41.43077666949542, 2.0828270395025665 41.430787310861994, 2.082751580805593 41.43086795669829, 2.082677347769798 41.43094654053395, 2.082675647031088 41.43094832846979, 2.082604413205506 41.43102639570436, 2.082533416039929 41.43110464493999, 2.08247144297808 41.43117098617071, 2.082408042606848 41.431236685459886, 2.0823468507023137 41.43129852913215, 2.082284945714865 41.431360006777986, 2.0822142018339536 41.4314287099542, 2.0821421502868516 41.43149677213409, 2.082086383238503 41.431547309544825, 2.0820286006889988 41.43159647974573, 2.081969763817228 41.431644020176485, 2.0819103348441885 41.431691105471984, 2.0818887933613923 41.431707957725045, 2.0818470407345693 41.431740682002186, 2.0817833913048442 41.43178998543444, 2.081724839093986 41.431834285329735, 2.0817040434632545 41.43184916185534, 2.081664629124927 41.431877310927675, 2.0815922673765037 41.43192483334066, 2.0815188424134607 41.43197135640398, 2.08145412138457 41.43201173375216, 2.08141210955275 41.432037339932144, 2.081406787701929 41.43204058922055))"
T09758X,20-25 µg/m³,"MULTILINESTRING ((2.211863951840677 41.41965536968416, 2.211393729768038 41.42000573903015))"
T15722A,25-30 µg/m³,"MULTILINESTRING ((2.180318039559835 41.38644313395267, 2.180424177751357 41.386398194200574, 2.1805620942421187 41.38633611396886, 2.180656242992641 41.386280117516336, 2.1807333062682037 41.38623222330879, 2.1808484282976135 41.38614895698948, 2.180924176633844 41.386086677283096))"
T04338N,20-25 µg/m³,"MULTILINESTRING ((2.167785738727151 41.40758805990793, 2.1692309271655565 41.40847233975053))"
T02965A,25-30 µg/m³,"MULTILINESTRING ((2.1454011230118026 41.37458192055331, 2.1451237586690386 41.37520205739314))"
T13589F,25-30 µg/m³,"MULTILINESTRING ((2.1708934165646756 41.37644536327994, 2.1716042907402473 41.377199095731065))"
T11753R,<=15 µg/m³,"MULTILINESTRING ((2.0996519436648207 41.41163891729519, 2.099046751871949 41.41182808683714))"
T15627C,20-25 µg/m³,"MULTILINESTRING ((2.1977634165609725 41.399443789799484, 2.1979923926801455 41.39961350100056))"
T20296O,20-25 µg/m³,"MULTILINESTRING ((2.140394255203335 41.403365361962706, 2.140223481517913 41.40336408692739))"
T03037Z,30-35 µg/m³,"MULTILINESTRING ((2.1429641295745485 41.370379600905316, 2.1438777358002983 41.37107423930755))"
RD0012L,> 40 µg/m³,"MULTILINESTRING ((2.18132621339899 41.44627982136251, 2.1814295833387507 41.44629344800772, 2.18162585520837 41.44631718179893, 2.1816424701828434 41.44631919146532, 2.18185497661073 41.44634664323797, 2.1819124430206482 41.44635587889193, 2.1819621445641517 41.44636379830325, 2.182069191742965 41.446381042484326, 2.182097008016799 41.446383942669016))"
T19871C,20-25 µg/m³,"MULTILINESTRING ((2.2047777010308205 41.40151535878942, 2.2039991363982647 41.40189330318243, 2.203807810178497 41.40169601305784))"
T10533D,25-30 µg/m³,"MULTILINESTRING ((2.1337948878075315 41.39606503485784, 2.1348056030129645 41.396513730882205))"
T01108P,20-25 µg/m³,"MULTILINESTRING ((2.1725122357610354 41.37741485950118, 2.1720515972553605 41.37696663924014))"
VA0002B,20-25 µg/m³,"MULTILINESTRING ((2.1202433995287677 41.40237398593498, 2.120137980186551 41.40243790935971, 2.1200309656739815 41.40252137430218, 2.1199209872024234 41.40260026066449, 2.1198200837890897 41.40267921629362, 2.119722297393726 41.40275136192543, 2.1195387322550823 41.40290257849298, 2.1193979482149263 41.403022231193624, 2.1192937725292023 41.40311938461986, 2.11922625401549 41.403184100185484))"
RD0112H,> 40 µg/m³,"MULTILINESTRING ((2.1039621432255564 41.38476107681536, 2.1041336382425797 41.38496411955393, 2.1041717966644593 41.385008535717674, 2.1041817554922972 41.38501960422189))"
T20062Y,20-25 µg/m³,"MULTILINESTRING ((2.2057353620621827 41.41048804763457, 2.206285733989088 41.41089999939366))"
T02070W,20-25 µg/m³,"MULTILINESTRING ((2.170909780403426 41.39499377024565, 2.172030654447735 41.39583113865474))"
T05993Q,20-25 µg/m³,"MULTILINESTRING ((2.18746664930784 41.43286302529885, 2.187461359702727 41.433300975649225))"
T16750I,25-30 µg/m³,"MULTILINESTRING ((2.115207479609629 41.33073912846981, 2.116490709666267 41.330281665113404))"
T19819Y,20-25 µg/m³,"MULTILINESTRING ((2.1912682754767765 41.41707475976854, 2.191440412044764 41.41719886679478, 2.191402085067345 41.417908504471896))"
T15217O,20-25 µg/m³,"MULTILINESTRING ((2.2052078232164853 41.42847327285901, 2.2038653353203737 41.42911070733104, 2.203534748755139 41.42922148275133))"
T02264E,20-25 µg/m³,"MULTILINESTRING ((2.180260088670978 41.40173914116024, 2.1818314720367757 41.402142350607384))"
T07200I,20-25 µg/m³,"MULTILINESTRING ((2.1064357797379585 41.39152712081463, 2.1087543845762364 41.393117277101865))"
T10695U,20-25 µg/m³,"MULTILINESTRING ((2.1270794700687166 41.391818645571675, 2.1264367663960138 41.39322391407765))"
T21036A,20-25 µg/m³,"MULTILINESTRING ((2.188897777096188 41.375451228677335, 2.188872053780944 41.37521817537672, 2.188838449083807 41.375059378820154, 2.188769537047806 41.37487800383351, 2.188172051927782 41.37381077663906))"
T15740C,20-25 µg/m³,"MULTILINESTRING ((2.193785339341355 41.405016676850785, 2.193512220336194 41.40511621580027, 2.191906743265768 41.40469532589638))"
T18171D,25-30 µg/m³,"MULTILINESTRING ((2.1868785694799495 41.42393371800185, 2.1866781233345676 41.424606079192415, 2.1865549069321526 41.42494196206866))"
T13603M,25-30 µg/m³,"MULTILINESTRING ((2.1071758245795857 41.39045545642476, 2.107230546521631 41.39033122592411, 2.1077729973562986 41.38982227314139, 2.107773058884956 41.38981776986765))"
T03312Z,20-25 µg/m³,"MULTILINESTRING ((2.1447259320733063 41.37643972009323, 2.1442842828310122 41.376859468881506))"
T16747N,25-30 µg/m³,"MULTILINESTRING ((2.118885014515035 41.33025685117119, 2.1201208476669944 41.32983701469034))"
T00028M,20-25 µg/m³,"MULTILINESTRING ((2.1908347280193787 41.377612811895055, 2.1909834606322467 41.37765132822013, 2.190983485711963 41.377653165935385, 2.1910036616952175 41.37768974318731))"
T09956B,20-25 µg/m³,"MULTILINESTRING ((2.2024305507503934 41.39676728929261, 2.203412196370352 41.39759704691195))"
T12186M,20-25 µg/m³,"MULTILINESTRING ((2.1726977610256863 41.42880319738886, 2.1732233844530953 41.42884141758579))"
T18750Q,20-25 µg/m³,"MULTILINESTRING ((2.188897777096188 41.375451228677335, 2.1887937196367315 41.37546725879521, 2.187030460070396 41.375673699359844))"
T20843T,20-25 µg/m³,"MULTILINESTRING ((2.1903866510974668 41.424664705792445, 2.1899272001272077 41.424647251402035))"
T16070R,20-25 µg/m³,"MULTILINESTRING ((2.144531224251766 41.40299922091789, 2.1444005203722107 41.40284251924925))"
T06026I,20-25 µg/m³,"MULTILINESTRING ((2.18746664930784 41.43286302529885, 2.1865004537363424 41.43296807521748))"
T09029X,25-30 µg/m³,"MULTILINESTRING ((2.1878921486327068 41.41006238431792, 2.187103849210198 41.41028172095731, 2.1868771776438716 41.410350802297785))"
T09305Y,20-25 µg/m³,"MULTILINESTRING ((2.2039739413541097 41.40581264693741, 2.2051082658145695 41.406689022439735))"
T10825M,20-25 µg/m³,"MULTILINESTRING ((2.1222181294202596 41.396981853703416, 2.1221666078985537 41.39695515904532, 2.121445251609542 41.3965698473481))"
T06247T,20-25 µg/m³,"MULTILINESTRING ((2.1887927095157296 41.436509181605146, 2.18833809996599 41.43657690230548))"
T13701N,25-30 µg/m³,"MULTILINESTRING ((2.156830160605317 41.36284469789852, 2.15737136515593 41.36298737535359, 2.157956540710354 41.36332727697013, 2.1583166134291956 41.363711559286386, 2.1588328497710787 41.36432730438616, 2.159147457880636 41.36461252917041, 2.1596384058981277 41.365010913807, 2.1600394704700476 41.36517485872874, 2.1600395283417066 41.365170355373444))"
T16535D,20-25 µg/m³,"MULTILINESTRING ((2.1822206235178663 41.38235172138119, 2.1823390339479816 41.382499015693796, 2.182599604318724 41.38282547003519))"
T05079R,20-25 µg/m³,"MULTILINESTRING ((2.1551264616579924 41.42676429567052, 2.154631945762411 41.42627091218633))"
T01986B,25-30 µg/m³,"MULTILINESTRING ((2.1627083822443467 41.39392120915467, 2.1635007622705857 41.394531074737465))"
T05377Y,20-25 µg/m³,"MULTILINESTRING ((2.160126879766927 41.43835698199689, 2.1595539326764097 41.43869741662702))"
T09080A,20-25 µg/m³,"MULTILINESTRING ((2.1868538326500793 41.405400594658374, 2.1868532792985 41.40676066912463))"
T21168L,20-25 µg/m³,"MULTILINESTRING ((2.176583941805561 41.41939696559583, 2.176070244078906 41.419021047784376))"
T18439M,25-30 µg/m³,"MULTILINESTRING ((2.147682518344251 41.36752173758076, 2.147744147634331 41.368050540367406, 2.147736125313086 41.36829254079649, 2.147482182105969 41.36835300242419, 2.1468477456394113 41.36809708363092, 2.1466525580790248 41.368084369023606))"
T18870X,20-25 µg/m³,"MULTILINESTRING ((2.1640067516626402 41.44151978303256, 2.1637961135310704 41.44184215179619))"
T21427L,20-25 µg/m³,"MULTILINESTRING ((2.1187838331856854 41.380767638559, 2.1192747901278906 41.38101577758648, 2.119490521886993 41.381117158614046, 2.1196836944857607 41.38117893186555, 2.119916443861087 41.381224523517936))"
T16445C,25-30 µg/m³,"MULTILINESTRING ((2.193926069048998 41.4076711187664, 2.1940086506739056 41.407730849080274))"
T00529C,20-25 µg/m³,"MULTILINESTRING ((2.185854070026828 41.385585300988005, 2.1865425553474047 41.38509400453157, 2.1868698945717555 41.384958356966514, 2.187395475194258 41.38480890278765, 2.1880184645016625 41.384721312228514, 2.1885035009787037 41.38471490396368, 2.1889448480699993 41.38473828913704, 2.1893908088494354 41.384829396705136, 2.1898604417016254 41.38497532679047, 2.1901914982230632 41.38511227286487, 2.1906016977564686 41.38528965962743, 2.190940085165823 41.38548002470222, 2.1912944567787656 41.38573097760171, 2.1915685727801497 41.38598617604809, 2.1918057799795085 41.38621828071868, 2.192022185585973 41.386469091710616, 2.192241956829808 41.38676027062683, 2.1925088732238778 41.387165049399535))"
T11149D,20-25 µg/m³,"MULTILINESTRING ((2.1454355810118493 41.40562578280462, 2.145498647692333 41.4054992903055, 2.1448540113790515 41.404944975674866))"
T19767D,20-25 µg/m³,"MULTILINESTRING ((2.1285290964287875 41.38108519464314, 2.12831107737295 41.3818128924081))"
T10731H,20-25 µg/m³,"MULTILINESTRING ((2.1184715561406904 41.393697310030646, 2.118952281725829 41.393679776676294, 2.120238395693958 41.3940264726967))"
T21070C,25-30 µg/m³,"MULTILINESTRING ((2.14255089446097 41.37663620441198, 2.142533612358746 41.37603405730252))"
T21275N,20-25 µg/m³,"MULTILINESTRING ((2.1244716782508344 41.40161853911338, 2.1235816749733476 41.40252955008492))"
T01697V,20-25 µg/m³,"MULTILINESTRING ((2.1494209032149456 41.38222529708882, 2.150544580407693 41.383076812917))"
T19062D,20-25 µg/m³,"MULTILINESTRING ((2.114700248669823 41.38991624786776, 2.1146004530199316 41.3899722008019, 2.114521747937386 41.39004730365174, 2.114456398541522 41.39014832466169, 2.1144431175565988 41.390226254517245))"
T06449B,20-25 µg/m³,"MULTILINESTRING ((2.1882602813192364 41.44127545021961, 2.1881747671367084 41.441224288467374, 2.187914762558824 41.44079721324456))"
T08356F,20-25 µg/m³,"MULTILINESTRING ((2.145709462044701 41.41177848512599, 2.145720922199235 41.41211408071058))"
T07915K,20-25 µg/m³,"MULTILINESTRING ((2.15481397376426 41.40427800891533, 2.154216476600484 41.404823429958356))"
T10838R,20-25 µg/m³,"MULTILINESTRING ((2.120527582941959 41.39786361403367, 2.1201434384049747 41.39823953441463))"
T16629I,25-30 µg/m³,"MULTILINESTRING ((2.171266782120973 41.38227287312576, 2.1714557316776455 41.382034344153205))"
T21416I,20-25 µg/m³,"MULTILINESTRING ((2.205392821608182 41.438220255692016, 2.2053076284647184 41.43858977503261))"
T11942U,20-25 µg/m³,"MULTILINESTRING ((2.1843005161481432 41.44282813473809, 2.1845259118220293 41.443356432644975))"
T10189H,20-25 µg/m³,"MULTILINESTRING ((2.1857394697782273 41.39231106766554, 2.184662187285009 41.3931280565349))"
T03017V,25-30 µg/m³,"MULTILINESTRING ((2.1449220473689428 41.370590906994956, 2.14468843691446 41.370418046897335))"
T16878X,20-25 µg/m³,"MULTILINESTRING ((2.142534704618145 41.393559392320704, 2.1427719377942087 41.3938092433711))"
T01462E,25-30 µg/m³,"MULTILINESTRING ((2.174952600367397 41.381665208708945, 2.175095614293366 41.38170386671033, 2.1752669758552807 41.38175078029026))"
T00546D,20-25 µg/m³,"MULTILINESTRING ((2.180098449202271 41.384385845314156, 2.180231699521744 41.38430548296834, 2.180325798750619 41.38426560988969, 2.1804495847364165 41.38421984090393))"
T19427M,20-25 µg/m³,"MULTILINESTRING ((2.1750949869202425 41.418081214406, 2.1751579659266267 41.41812751365626, 2.1752396252331114 41.418167110005776, 2.1753443669896275 41.41818118229167, 2.17545572700142 41.41817151312682, 2.1755599579530527 41.41812563678973, 2.175620242395925 41.41805660275351, 2.1756988719545145 41.41773649944808))"
T12019Y,20-25 µg/m³,"MULTILINESTRING ((2.182334155305726 41.44735620515787, 2.181456624786877 41.44730114904402))"
T16298J,20-25 µg/m³,"MULTILINESTRING ((2.164758514604409 41.44220515694594, 2.164712020254133 41.442321033590375, 2.164481018162279 41.44275567764241))"
T07131M,20-25 µg/m³,"MULTILINESTRING ((2.1224887841167654 41.38523379943256, 2.1226520246544567 41.38666751686547))"
T20075D,25-30 µg/m³,"MULTILINESTRING ((2.1800780875152936 41.401875759258736, 2.179911419939356 41.40200305541443, 2.179787676627949 41.40209315884668))"
T03822Q,25-30 µg/m³,"MULTILINESTRING ((2.1415014713029916 41.36107300644171, 2.141098322268304 41.36151995486149))"
T04186P,20-25 µg/m³,"MULTILINESTRING ((2.144046279966956 41.37838126987858, 2.1447520147083363 41.37878559199902, 2.1448295116297764 41.378804560903575))"
T10735L,20-25 µg/m³,"MULTILINESTRING ((2.122737586179025 41.39526764166094, 2.1235408291678017 41.39570633457092))"
T12265K,20-25 µg/m³,"MULTILINESTRING ((2.174345728885367 41.429733301662566, 2.1743599288042224 41.43031046640106))"
T02048Y,20-25 µg/m³,"MULTILINESTRING ((2.1768185547806858 41.392224744824624, 2.175682968824895 41.39308629719544))"
T04900R,20-25 µg/m³,"MULTILINESTRING ((2.152261925498407 41.42171222061431, 2.1524896902819917 41.42191854702759, 2.1527369423435916 41.4221715759798, 2.153184956780242 41.4224834046653, 2.1532380396998554 41.42250757478101))"
T16416X,20-25 µg/m³,"MULTILINESTRING ((2.2005563714076177 41.39306050729262, 2.200336431047458 41.393215035544635))"
T10515B,15-20 µg/m³,"MULTILINESTRING ((2.1365994898359357 41.39418640752138, 2.136227853967876 41.39504413404758))"
T17591P,20-25 µg/m³,"MULTILINESTRING ((2.2064790359922837 41.40007094972054, 2.206716394481056 41.399900397458964))"
T00338X,20-25 µg/m³,"MULTILINESTRING ((2.1801037361420326 41.380566697547756, 2.1805290387722662 41.380376504078626))"
T10522A,20-25 µg/m³,"MULTILINESTRING ((2.1359636623394707 41.396977593469686, 2.135363406702772 41.39777513332732))"
