TRAM,Rang,geometry_wkt
T12907V,15-20 µg/m³,"MULTILINESTRING ((2.17893788610828 41.45211660074346, 2.178845487357313 41.45219129785564, 2.178899931839719 41.45227065429205, 2.179030424111963 41.45244991395714, 2.1791274028341117 41.45261231581148, 2.179203615048452 41.45280375358408, 2.179223734232222 41.452914544244244, 2.179244061551917 41.45301261789792, 2.1792224387077828 41.45309248570822, 2.1791586577255164 41.45326854047013, 2.179210827712239 41.453382189811975, 2.1792987163068305 41.4534822223324, 2.1793691820068624 41.453613854740915, 2.1794360842950247 41.45375561307272, 2.1795894197515957 41.45388298998582, 2.179715160147121 41.453942713474326, 2.179836933178544 41.45403799689407, 2.1800530854462297 41.45424862593673, 2.1801555832338813 41.45428396243576, 2.1803580001654286 41.45420463418447, 2.1805238769521496 41.454088070003266, 2.180754668950261 41.453726821476494, 2.1808395865360377 41.453600556154264, 2.1810045784596297 41.45353610192948, 2.181206436466486 41.453591501260476, 2.1813985223911794 41.45362519491691, 2.1816660791122433 41.45369268916643, 2.1817724756427905 41.453797976582756, 2.1819842477498845 41.45396788434613, 2.182204376364951 41.45404252550224, 2.1824554428405194 41.45408570683128, 2.1826827284060277 41.454237960831065, 2.182954621526759 41.45424829473041, 2.1832077280442537 41.45427115013159, 2.1835037854887602 41.45435291191124, 2.183783159342552 41.4544217821174, 2.183977203864588 41.454438965739314, 2.1842790569191823 41.454485421470324))"
T04597E,20-25 µg/m³,"MULTILINESTRING ((2.1692571378652272 41.423429295605864, 2.167746776675715 41.42407440192763))"
T08203P,20-25 µg/m³,"MULTILINESTRING ((2.1624856152046297 41.399493407375644, 2.1630077934235685 41.39992048471872))"
T06595K,25-30 µg/m³,"MULTILINESTRING ((2.2077924108052533 41.4390687111299, 2.208139962271291 41.43910705976472))"
T01915M,25-30 µg/m³,"MULTILINESTRING ((2.161276247309535 41.38944660874838, 2.1612826003362824 41.38862036833895))"
T08416A,20-25 µg/m³,"MULTILINESTRING ((2.152120725362048 41.41275634781406, 2.152851550312364 41.413217874915055))"
T12083G,20-25 µg/m³,"MULTILINESTRING ((2.1825349283153197 41.42771057098828, 2.182550310204275 41.42865467152843))"
T13003U,20-25 µg/m³,"MULTILINESTRING ((2.1791948281725495 41.4618808452695, 2.179016707197957 41.46182512532229, 2.178327266540435 41.46142837503897, 2.1778060922362763 41.461108610875186, 2.177427950714528 41.46091987944815))"
T19295S,20-25 µg/m³,"MULTILINESTRING ((2.113776889598284 41.39549716282993, 2.1146366363291436 41.396259244259014, 2.1148278428644267 41.39630486904894))"
T11305X,15-20 µg/m³,"MULTILINESTRING ((2.138274961015576 41.40571338288312, 2.138157719033057 41.40571940512043, 2.136845632197455 41.406684204517155))"
T02656Q,20-25 µg/m³,"MULTILINESTRING ((2.181175521451952 41.40099633808272, 2.180260088670978 41.40173914116024))"
T01496O,20-25 µg/m³,"MULTILINESTRING ((2.176172543496997 41.38288743731407, 2.1760376070762146 41.38302261175686, 2.175656098906257 41.38329208001376))"
T14865K,25-30 µg/m³,"MULTILINESTRING ((2.137979795402082 41.34838826191877, 2.1396373435563785 41.34893566110211))"
T18074D,20-25 µg/m³,"MULTILINESTRING ((2.1690568971508553 41.435014271868496, 2.1688946888637846 41.43465278499678))"
T09798F,20-25 µg/m³,"MULTILINESTRING ((2.213218293126154 41.41964955329894, 2.212542536691798 41.42016385516103))"
T15984U,20-25 µg/m³,"MULTILINESTRING ((2.118505088090448 41.403741406746384, 2.1181342973168795 41.40408644698691))"
T05334N,20-25 µg/m³,"MULTILINESTRING ((2.159489300485649 41.43497383452573, 2.1576861968501366 41.43605625958708))"
