station_id,name,physical_configuration,lat,lon,altitude,address,cross_street,post_code,capacity,is_charging_station,short_name,nearby_distance,x_ride_code_support,rental_uris,is_valet_station,last_updated,ttl,V1
185,"C/GAVÀ, 81",ELECTRICBIKESTATION,41.3703717,2.1389439,20,"C/GAVÀ, 81",03-Sants-Montjuïc/16-la Bordeta,8014,17,TRUE,185,1000,TRUE,NA,NA,1735686001,0,NA
186,"C/CONSELL DE CENT, 6",ELECTRICBIKESTATION,41.3755503,2.1439036,27,"C/CONSELL DE CENT, 6",03-Sants-Montjuïc/15-Hostafrancs,8014,26,TRUE,186,1000,TRUE,NA,NA,1735686001,0,NA
187,"C/ DE SANT PAU, 89 - 97",ELECTRICBIKESTATION,41.3768806,2.1698206,5,"C/ DE SANT PAU, 89 - 97",01-CiutatVella/01-el Raval,8001,19,TRUE,187,1000,TRUE,NA,NA,1735686001,0,NA
188,PG. SANT ANTONI /PL. SANTS,ELECTRICBIKESTATION,41.3756948,2.1358571,30,PG. SANT ANTONI /PL. SANTS,03-Sants-Montjuïc/18-Sants,8014,27,TRUE,188,1000,TRUE,NA,NA,1735686001,0,NA
189,"C/ BRUC, 130",ELECTRICBIKESTATION,41.3969839,2.1661852,34,"C/ BRUC, 130",02-Eixample/07-la Dreta de l'Eixample,8037,28,TRUE,189,1000,TRUE,NA,NA,1735686001,0,NA
190,"AV. LITORAL, 72",ELECTRICBIKESTATION,41.3961412,2.2078439,6,"AV. LITORAL, 72",10-SantMartí/68-el Poblenou,8005,29,TRUE,190,1000,TRUE,NA,NA,1735686001,0,NA
191,"C/ ENTENÇA, 137",ELECTRICBIKESTATION,41.381951,2.147474,15,"C/ ENTENÇA, 137",02-Eixample/09-la Nova Esquerra de l'Eixample,8015,37,TRUE,191,1000,TRUE,NA,NA,1735686001,0,NA
192,"C/ JOAN GÜELL, 50",ELECTRICBIKESTATION,41.3786364,2.1335494,33,"C/ JOAN GÜELL, 50",03-Sants-Montjuïc/18-Sants,8028,21,TRUE,192,1000,TRUE,NA,NA,1735686001,0,NA
193,"C/ FÍGOLS, 1",ELECTRICBIKESTATION,41.3812979,2.1289917,41,"C/ FÍGOLS, 1",04-LesCorts/19-les Corts,8028,27,TRUE,193,1000,TRUE,NA,NA,1735686001,0,NA
194,"C/ JOAN GÜELL, 98",ELECTRICBIKESTATION,41.3812001,2.1323612,38,"C/ JOAN GÜELL, 98",04-LesCorts/19-les Corts,8028,24,TRUE,194,1000,TRUE,NA,NA,1735686001,0,NA
195,"C/ VALLESPIR, 130",ELECTRICBIKESTATION,41.3821371,2.1354149,38,"C/ VALLESPIR, 130",04-LesCorts/19-les Corts,8014,27,TRUE,195,1000,TRUE,NA,NA,1735686001,0,NA
196,"C/ BERLÍN, 38",ELECTRICBIKESTATION,41.3832609,2.1392662,38,"C/ BERLÍN, 38",03-Sants-Montjuïc/18-Sants,8029,27,TRUE,196,1000,TRUE,NA,NA,1735686001,0,NA
197,"C/ GELABERT, 1",ELECTRICBIKESTATION,41.3871579,2.1410945,47,"C/ GELABERT, 1",04-LesCorts/19-les Corts,8029,27,TRUE,197,1000,TRUE,NA,NA,1735686001,0,NA
